City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,richards bay,-28.783,32.0377,18.5,62,11,5.38,ZA,1690057763
277,saudarkrokur,65.7461,-19.6394,10.78,72,49,1.9,IS,1690057763
278,suwayr,30.1171,40.3893,34.52,11,56,5.32,SA,1690057763
279,nueve de julio,-35.4444,-60.8831,12.76,74,99,2.24,AR,1690057763
280,gaya,24.7833,85.0,29.61,71,12,4.3,IN,1690057764
281,lyepyel',54.8814,28.6932,12.87,97,72,2.68,BY,1690057764
282,firminopolis,-16.5819,-50.305,28.81,28,1,2.1,BR,1690057764
283,slave lake,55.2834,-114.769,24.99,61,0,3.09,CA,1690057764
284,sievi,63.9,24.5,11.94,99,99,2.03,FI,1690057765
285,ruangwa,-10.0667,38.9333,21.44,85,94,2.37,TZ,1690057765
286,samfya,-11.3649,29.5565,19.37,50,14,4.42,ZM,1690057766
287,sretensk,52.2453,117.7093,13.15,77,94,1.38,RU,1690057766
288,oltinko'l,40.8011,72.1634,28.99,18,0,1.65,UZ,1690057766
289,puerto baquerizo moreno,-0.9,-89.6,27.55,69,20,5.14,EC,1690057767
290,enoch,37.7733,-113.0244,37.14,19,0,3.6,US,1690057767
291,piti village,13.4626,144.6933,27.49,91,40,1.54,GU,1690057767
292,dzhetygara,52.1908,61.2006,17.97,74,99,2.36,KZ,1690057768
293,samana,19.2056,-69.3369,34.12,70,20,3.09,DO,1690057768
294,mogocha,53.7333,119.7667,11.58,91,98,1.33,RU,1690057768
295,obo,5.3998,26.4869,19.21,94,87,1.2,CF,1690057768
296,oyama,36.3,139.8,26.44,78,76,0.84,JP,1690057769
297,namibe,-15.1961,12.1522,17.15,88,96,4.5,AO,1690057769
298,valentin gomez farias,28.2167,-106.5833,31.54,24,100,5.59,MX,1690057769
299,talnakh,69.4865,88.3972,16.7,97,100,2.64,RU,1690057770
300,piggs peak,-25.9667,31.25,13.94,74,11,2.62,SZ,1690057770
301,bennington,42.8781,-73.1968,28.14,52,75,2.57,US,1690057770
302,colesberg,-30.72,25.0972,11.23,57,100,2.97,ZA,1690057770
303,samdrup jongkhar,26.9167,91.6167,22.65,92,95,1.45,BT,1690057771
304,gizo,-8.103,156.8419,26.55,77,98,8.29,SB,1690057771
305,vila franca do campo,37.7167,-25.4333,22.23,69,32,1.28,PT,1690057542
306,rio das ostras,-22.5269,-41.945,20.96,83,15,5.52,BR,1690057771
307,ankpa,7.3706,7.6253,22.71,96,100,2.55,NG,1690057772
308,belem de sao francisco,-8.7539,-38.9658,28.32,41,2,9.76,BR,1690057772
309,port mathurin,-19.6833,63.4167,23.25,69,0,10.29,MU,1690057772
310,tual,-5.6667,132.75,26.3,75,21,8.82,ID,1690057772
311,amherst,41.3978,-82.2224,27.51,50,40,3.6,US,1690057651
312,lihue,21.9789,-159.3672,27.58,86,100,6.69,US,1690057758
313,lobito,-12.3481,13.5456,20.05,86,21,1.51,AO,1690057773
314,illizi,26.4833,8.4667,35.89,9,0,5.0,DZ,1690057773
315,qarauyl,48.9451,79.255,18.24,41,0,1.71,KZ,1690057773
316,uturoa,-16.7333,-151.4333,24.68,73,99,5.83,PF,1690057634
317,port augusta,-32.5,137.7667,9.05,76,6,5.7,AU,1690057774
318,naples,40.8333,14.25,28.67,82,0,2.57,IT,1690057545
319,cabedelo,-6.9811,-34.8339,26.37,80,41,7.78,BR,1690057775
320,abalak,58.1286,68.5944,14.58,92,58,2.13,RU,1690057775
321,ust-tsilma,65.441,52.1498,14.51,98,100,1.77,RU,1690057775
322,gazojak,41.1875,61.4036,30.29,20,0,4.08,TM,1690057776
323,iacu,-12.7672,-40.2117,23.98,64,89,3.43,BR,1690057776
324,manado,1.487,124.8455,23.43,94,40,1.03,ID,1690057776
325,sant lluis,39.8526,4.2594,26.22,65,0,3.6,ES,1690057776
326,betio village,1.358,172.9211,27.02,75,21,3.72,KI,1690057776
327,ust'-uda,54.1742,103.0304,14.56,79,5,1.21,RU,1690057776
328,sitges,41.2351,1.8119,27.71,73,42,2.0,ES,1690057777
329,baixo guandu,-19.5189,-41.0158,24.05,59,8,4.21,BR,1690057777
330,ta`u,-14.2336,-169.5144,27.28,79,100,4.32,AS,1690057778
331,otofuke,42.9917,143.2003,15.78,94,100,0.5,JP,1690057778
332,bamboo flat,11.7,92.7167,26.05,94,100,0.0,IN,1690057779
333,angaur state,6.906,134.13,28.06,80,100,5.39,PW,1690057779
334,hauterive,46.0901,3.4459,23.42,56,0,0.43,FR,1690057779
335,prineville,44.2999,-120.8345,31.95,19,0,4.63,US,1690057779
336,cotoca,-17.8167,-63.05,30.25,45,40,11.83,BO,1690057779
